title, id, link, display, culture, type,medium simple,medium detail, medium, date, origin, link2, topic,animals, period
Mask and ring,edanmdm-fsg_F1915.82,https://asia.si.edu/object/F1915.82/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,770 BCE-220 CE,China,https://asia.si.edu/object/F1915.82/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Masks%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Eastern Zhou to Han dynasty
Mirror,edanmdm-fsg_F1915.83,https://asia.si.edu/object/F1915.83/,No,Chinese,Metalwork%Mirror%,metal,lead,Lead,206 BCE-220 CE,China,https://asia.si.edu/object/F1915.83/,Art%Animals%Sculpture%Chinese Art%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Garment hook (<em>daigou</em>),edanmdm-fsg_F1915.95,https://asia.si.edu/object/F1915.95/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze with inlay,Bronze with gilding and turquoise inlay,475-221 BCE,China,https://asia.si.edu/object/F1915.95/,Gilding%Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Inlay%Warring States period (475 - 221 BCE)%,undefined animal(mythical creatures),Zhou dynasty
Ritual wine vessel (<em>lei</em>),edanmdm-fsg_F1915.104,https://asia.si.edu/object/F1915.104/,No,Chinese,Metalwork%Vessel%,metal,bronze,Bronze,9th century BCE,China,https://asia.si.edu/object/F1915.104/,Wine and wine making%Western Zhou dynasty (ca. 1050 - 771 BCE)%Art%Animals%Sculpture%Chinese Art%Masks%,undefined animal(mythical creatures),Western Zhou dynasty
Ornament in the form of an animal mask,edanmdm-fsg_F1915.150,https://asia.si.edu/object/F1915.150/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,ca. 1050-770 BCE,China,https://asia.si.edu/object/F1915.150/,Western Zhou dynasty (ca. 1050 - 771 BCE)%Art%Animals%Sculpture%Chinese Art%Masks%,undefined animal(mythical creatures),Western Zhou dynasty
Ornament: animal statuette,edanmdm-fsg_F1915.207,https://asia.si.edu/object/F1915.207/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,220-589,China,https://asia.si.edu/object/F1915.207/,Period of Division (220 - 589)%Art%Animals%Sculpture%Chinese Art%,undefined animal(mythical creatures),Period of Division
Mask and ring,edanmdm-fsg_F1915.327,https://asia.si.edu/object/F1915.327/,No,Chinese,Metalwork%,metal,bronze,Bronze,770 BCE-220 CE,China,https://asia.si.edu/object/F1915.327/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Masks%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Eastern Zhou to Han dynasty
Mask and ring,edanmdm-fsg_F1915.329,https://asia.si.edu/object/F1915.329/,No,Chinese,Metalwork%,metal,bronze,Bronze,770 BCE-220 CE,China,https://asia.si.edu/object/F1915.329/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Masks%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Eastern Zhou to Han dynasty
Mask and ring,edanmdm-fsg_F1915.330,https://asia.si.edu/object/F1915.330/,No,Chinese,Metalwork%,metal,bronze,Bronze,770 BCE-220 CE,China,https://asia.si.edu/object/F1915.330/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Masks%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Eastern Zhou to Han dynasty
Mask and ring,edanmdm-fsg_F1915.331,https://asia.si.edu/object/F1915.331/,No,Chinese,Metalwork%,metal,bronze,Bronze,770 BCE-221 CE,China,https://asia.si.edu/object/F1915.331/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Masks%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Eastern Zhou to Han dynasty
Garment hook (<em>daigou</em>),edanmdm-fsg_F1916.14,https://asia.si.edu/object/F1916.14/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.14/,Gilding%Art%Animals%Sculpture%Chinese Art%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Finial with hills and animals (<em>boshan</em>),edanmdm-fsg_F1916.21,https://asia.si.edu/object/F1916.21/,No,Chinese,Metalwork%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.21/,Art%Animals%Hill%Sculpture%Chinese Art%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Ritual vessel (<em>zun</em>)% fragment,edanmdm-fsg_F1916.142,https://asia.si.edu/object/F1916.142/,No,Chinese,Metalwork%,metal,bronze,Bronze,late 11th century BCE,China,https://asia.si.edu/object/F1916.142/,Western Zhou dynasty (ca. 1050 - 771 BCE)%Art%Animals%Sculpture%Chinese Art%Masks%,undefined animal(mythical creatures),Western Zhou dynasty
Garment hook (<em>gou</em>),edanmdm-fsg_F1916.204,https://asia.si.edu/object/F1916.204/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.204/,Gilding%Art%Animals%Sculpture%Chinese Art%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Garment hook (<em>daigou</em>),edanmdm-fsg_F1916.211,https://asia.si.edu/object/F1916.211/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.211/,Art%Animals%Sculpture%Chinese Art%Masks%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Garment hook (<em>daigou</em>),edanmdm-fsg_F1916.212a-b,https://asia.si.edu/object/F1916.212a-b/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze with inlay,Bronze with gold and turquoise inlay,5th-4th century BCE,China,https://asia.si.edu/object/F1916.212a-b/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Inlay%Warring States period (475 - 221 BCE)%,undefined animal(mythical creatures),Eastern Zhou dynasty
Garment hook (<em>daigou</em>),edanmdm-fsg_F1916.266,https://asia.si.edu/object/F1916.266/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,4th-3rd century BCE,China,https://asia.si.edu/object/F1916.266/,Art%Animals%Inscriptions%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Masks%,undefined animal(mythical creatures),Eastern Zhou dynasty
Garment hook (<em>daigou</em>),edanmdm-fsg_F1916.267,https://asia.si.edu/object/F1916.267/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,4th-3rd century BCE,China,https://asia.si.edu/object/F1916.267/,Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%,undefined animal(mythical creatures),Eastern Zhou dynasty
Ornament: grotesque animal mask,edanmdm-fsg_F1916.277,https://asia.si.edu/object/F1916.277/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,ca. 1050-771 BCE,China,https://asia.si.edu/object/F1916.277/,Western Zhou dynasty (ca. 1050 - 771 BCE)%Art%Animals%Sculpture%Chinese Art%Masks%,undefined animal(mythical creatures),Western Zhou dynasty
Mask,edanmdm-fsg_F1916.287,https://asia.si.edu/object/F1916.287/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.287/,Gilding%Art%Animals%Sculpture%Chinese Art%Masks%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Ornament in the form of a man with an animal,edanmdm-fsg_F1916.314,https://asia.si.edu/object/F1916.314/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze with gilding,Bronze with gilding,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.314/,Gilding%Art%Animals%Sculpture%Chinese Art%Men%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Garment hook (<em>gou</em>),edanmdm-fsg_F1916.317,https://asia.si.edu/object/F1916.317/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.317/,Art%Animals%Sculpture%Chinese Art%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Fragment of a ritual vessel handle in the form of an animal head,edanmdm-fsg_F1916.348,https://asia.si.edu/object/F1916.348/,No,Chinese,Metalwork%Vessel%,metal,bronze,Bronze,ca. 1050-221 BCE,China,https://asia.si.edu/object/F1916.348/,Art%Animals%Sculpture%Chinese Art%Zhou dynasty (ca. 1050 - 221 BCE)%,undefined animal(mythical creatures),Zhou dynasty
Fitting (fragment),edanmdm-fsg_F1916.349,https://asia.si.edu/object/F1916.349/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,ca. 1050-221 BCE,China,https://asia.si.edu/object/F1916.349/,Art%Animals%Sculpture%Chinese Art%Zhou dynasty (ca. 1050 - 221 BCE)%,undefined animal(mythical creatures),Zhou dynasty
Fitting (fragment),edanmdm-fsg_F1916.350,https://asia.si.edu/object/F1916.350/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,ca. 1050-221 BCE,China,https://asia.si.edu/object/F1916.350/,Art%Animals%Sculpture%Chinese Art%Zhou dynasty (ca. 1050 - 221 BCE)%,undefined animal(mythical creatures),Zhou dynasty
Fitting (fragment),edanmdm-fsg_F1916.351,https://asia.si.edu/object/F1916.351/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,1050-221 BCE,China,https://asia.si.edu/object/F1916.351/,Art%Animals%Sculpture%Chinese Art%Zhou dynasty (ca. 1050 - 221 BCE)%,undefined animal(mythical creatures),Zhou dynasty
Fitting (fragment),edanmdm-fsg_F1916.352,https://asia.si.edu/object/F1916.352/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,ca. 1050-221 BCE,China,https://asia.si.edu/object/F1916.352/,Art%Animals%Sculpture%Chinese Art%Zhou dynasty (ca. 1050 - 221 BCE)%,undefined animal(mythical creatures),Zhou dynasty
Garment hook (<em>daigou</em>),edanmdm-fsg_F1916.437,https://asia.si.edu/object/F1916.437/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.437/,Gilding%Art%Animals%Sculpture%Chinese Art%Masks%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Garment hook (<em>daigou</em>)% fragment,edanmdm-fsg_F1916.440,https://asia.si.edu/object/F1916.440/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze,Bronze,206 BCE-220 CE,China,https://asia.si.edu/object/F1916.440/,Art%Animals%Sculpture%Chinese Art%Han dynasty (206 BCE - 220 CE)%,undefined animal(mythical creatures),Han dynasty
Garment hook (<em>daigou</em>),edanmdm-fsg_F1916.441,https://asia.si.edu/object/F1916.441/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze with inlay,Bronze with turquoise inlay and gilding,3rd century BCE,China,https://asia.si.edu/object/F1916.441/,Gilding%Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Inlay%Western Han dynasty (206 BCE - 9 CE)%Warring States period (475 - 221 BCE)%,undefined animal(mythical creatures),Eastern Zhou to Western Han dynasty
Garment hook (<em>daigou</em>),edanmdm-fsg_F1916.443,https://asia.si.edu/object/F1916.443/,No,Chinese,Metalwork%Jewelry and Ornament%,metal,bronze with gilding,Bronze with gilding,3rd century BCE,China,https://asia.si.edu/object/F1916.443/,Gilding%Art%Animals%Eastern Zhou dynasty (770 - 221 BCE)%Sculpture%Chinese Art%Inlay%Western Han dynasty (206 BCE - 9 CE)%Warring States period (475 - 221 BCE)%,undefined animal(mythical creatures),Eastern Zhou to Western Han dynasty
